Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
10 Comunitat Valenciana;Industria;2020T3;25,8
10 Comunitat Valenciana;Industria;2020T2;33,1
10 Comunitat Valenciana;Industria;2020T1;23,4
10 Comunitat Valenciana;Industria;2019T4;29,9
10 Comunitat Valenciana;Industria;2019T3;30,2
10 Comunitat Valenciana;Industria;2019T2;26,1
10 Comunitat Valenciana;Industria;2019T1;25,7
10 Comunitat Valenciana;Industria;2018T4;32,9
10 Comunitat Valenciana;Industria;2018T3;27,7
10 Comunitat Valenciana;Industria;2018T2;29,7
10 Comunitat Valenciana;Industria;2018T1;34,3
10 Comunitat Valenciana;Industria;2017T4;30,9
10 Comunitat Valenciana;Industria;2017T3;28,1
10 Comunitat Valenciana;Industria;2017T2;28,3
10 Comunitat Valenciana;Industria;2017T1;28,5
10 Comunitat Valenciana;Industria;2016T4;26,7
10 Comunitat Valenciana;Industria;2016T3;24,6
10 Comunitat Valenciana;Industria;2016T2;25,7
10 Comunitat Valenciana;Industria;2016T1;23,8
10 Comunitat Valenciana;Industria;2015T4;27,4
10 Comunitat Valenciana;Industria;2015T3;27,5
10 Comunitat Valenciana;Industria;2015T2;28,3
10 Comunitat Valenciana;Industria;2015T1;29,9
10 Comunitat Valenciana;Industria;2014T4;32,1
10 Comunitat Valenciana;Industria;2014T3;29,6
10 Comunitat Valenciana;Industria;2014T2;32,8
10 Comunitat Valenciana;Industria;2014T1;37,5
10 Comunitat Valenciana;Industria;2013T4;32,9
10 Comunitat Valenciana;Industria;2013T3;34,2
10 Comunitat Valenciana;Industria;2013T2;51,6
10 Comunitat Valenciana;Industria;2013T1;50,6
10 Comunitat Valenciana;Industria;2012T4;44,6
10 Comunitat Valenciana;Industria;2012T3;43,9
10 Comunitat Valenciana;Industria;2012T2;46,3
10 Comunitat Valenciana;Industria;2012T1;48,3
10 Comunitat Valenciana;Industria;2011T4;40,3
10 Comunitat Valenciana;Industria;2011T3;32,1
10 Comunitat Valenciana;Industria;2011T2;33,6
10 Comunitat Valenciana;Industria;2011T1;35,9
10 Comunitat Valenciana;Industria;2010T4;31,1
10 Comunitat Valenciana;Industria;2010T3;34,3
10 Comunitat Valenciana;Industria;2010T2;41,6
10 Comunitat Valenciana;Industria;2010T1;42,4
10 Comunitat Valenciana;Industria;2009T4;57,4
10 Comunitat Valenciana;Industria;2009T3;62,1
10 Comunitat Valenciana;Industria;2009T2;65,4
10 Comunitat Valenciana;Industria;2009T1;66,5
10 Comunitat Valenciana;Industria;2008T4;53,5
10 Comunitat Valenciana;Industria;2008T3;34,8
10 Comunitat Valenciana;Industria;2008T2;32,1
10 Comunitat Valenciana;Industria;2008T1;29,8
10 Comunitat Valenciana;Construcción;2024T4;14,3
10 Comunitat Valenciana;Construcción;2024T3;12,2
10 Comunitat Valenciana;Construcción;2024T2;17,7
10 Comunitat Valenciana;Construcción;2024T1;23,1
10 Comunitat Valenciana;Construcción;2023T4;18,6
10 Comunitat Valenciana;Construcción;2023T3;9,2
10 Comunitat Valenciana;Construcción;2023T2;19,8
10 Comunitat Valenciana;Construcción;2023T1;21,9
10 Comunitat Valenciana;Construcción;2022T4;21,1
10 Comunitat Valenciana;Construcción;2022T3;12,7
10 Comunitat Valenciana;Construcción;2022T2;16,7
10 Comunitat Valenciana;Construcción;2022T1;16,2
10 Comunitat Valenciana;Construcción;2021T4;10,2
10 Comunitat Valenciana;Construcción;2021T3;11,2
10 Comunitat Valenciana;Construcción;2021T2;11,7
10 Comunitat Valenciana;Construcción;2021T1;20,4
10 Comunitat Valenciana;Construcción;2020T4;17,9
10 Comunitat Valenciana;Construcción;2020T3;15,2
10 Comunitat Valenciana;Construcción;2020T2;15,5
10 Comunitat Valenciana;Construcción;2020T1;9,1
10 Comunitat Valenciana;Construcción;2019T4;17,5
10 Comunitat Valenciana;Construcción;2019T3;12,4
10 Comunitat Valenciana;Construcción;2019T2;16
10 Comunitat Valenciana;Construcción;2019T1;12
10 Comunitat Valenciana;Construcción;2018T4;13,5
10 Comunitat Valenciana;Construcción;2018T3;14,2
10 Comunitat Valenciana;Construcción;2018T2;16,1
10 Comunitat Valenciana;Construcción;2018T1;16,8
10 Comunitat Valenciana;Construcción;2017T4;12,5
10 Comunitat Valenciana;Construcción;2017T3;14
10 Comunitat Valenciana;Construcción;2017T2;15,2
10 Comunitat Valenciana;Construcción;2017T1;19,3
10 Comunitat Valenciana;Construcción;2016T4;18,8
10 Comunitat Valenciana;Construcción;2016T3;20,7
10 Comunitat Valenciana;Construcción;2016T2;15,9
10 Comunitat Valenciana;Construcción;2016T1;21,2
10 Comunitat Valenciana;Construcción;2015T4;26,3
10 Comunitat Valenciana;Construcción;2015T3;19,2
10 Comunitat Valenciana;Construcción;2015T2;22,2
10 Comunitat Valenciana;Construcción;2015T1;20,9
10 Comunitat Valenciana;Construcción;2014T4;21,4
10 Comunitat Valenciana;Construcción;2014T3;32
10 Comunitat Valenciana;Construcción;2014T2;32,4
10 Comunitat Valenciana;Construcción;2014T1;34,7
10 Comunitat Valenciana;Construcción;2013T4;31,3
10 Comunitat Valenciana;Construcción;2013T3;32,2
10 Comunitat Valenciana;Construcción;2013T2;36,4
10 Comunitat Valenciana;Construcción;2013T1;41,7
10 Comunitat Valenciana;Construcción;2012T4;41,9
10 Comunitat Valenciana;Construcción;2012T3;48,4
10 Comunitat Valenciana;Construcción;2012T2;53,3
10 Comunitat Valenciana;Construcción;2012T1;55,9
10 Comunitat Valenciana;Construcción;2011T4;52,7
10 Comunitat Valenciana;Construcción;2011T3;59,1
10 Comunitat Valenciana;Construcción;2011T2;52,2
10 Comunitat Valenciana;Construcción;2011T1;52,5
10 Comunitat Valenciana;Construcción;2010T4;53,3
10 Comunitat Valenciana;Construcción;2010T3;62,4
10 Comunitat Valenciana;Construcción;2010T2;81,3
10 Comunitat Valenciana;Construcción;2010T1;70,4
10 Comunitat Valenciana;Construcción;2009T4;81,7
10 Comunitat Valenciana;Construcción;2009T3;86,1
10 Comunitat Valenciana;Construcción;2009T2;93,9
10 Comunitat Valenciana;Construcción;2009T1;83,1
10 Comunitat Valenciana;Construcción;2008T4;60,8
10 Comunitat Valenciana;Construcción;2008T3;56,7
10 Comunitat Valenciana;Construcción;2008T2;45,2
10 Comunitat Valenciana;Construcción;2008T1;37,9
10 Comunitat Valenciana;Servicios;2024T4;131,6
10 Comunitat Valenciana;Servicios;2024T3;150,7
10 Comunitat Valenciana;Servicios;2024T2;124,7
10 Comunitat Valenciana;Servicios;2024T1;149,3
10 Comunitat Valenciana;Servicios;2023T4;123,2
10 Comunitat Valenciana;Servicios;2023T3;128,6
10 Comunitat Valenciana;Servicios;2023T2;126,8
10 Comunitat Valenciana;Servicios;2023T1;132,8
10 Comunitat Valenciana;Servicios;2022T4;119,8
10 Comunitat Valenciana;Servicios;2022T3;129,6
10 Comunitat Valenciana;Servicios;2022T2;95,1
10 Comunitat Valenciana;Servicios;2022T1;100,5
10 Comunitat Valenciana;Servicios;2021T4;120,7
10 Comunitat Valenciana;Servicios;2021T3;138,7
10 Comunitat Valenciana;Servicios;2021T2;119,2
10 Comunitat Valenciana;Servicios;2021T1;141,5
10 Comunitat Valenciana;Servicios;2020T4;138,7
10 Comunitat Valenciana;Servicios;2020T3;171,3
10 Comunitat Valenciana;Servicios;2020T2;184,4
10 Comunitat Valenciana;Servicios;2020T1;147
10 Comunitat Valenciana;Servicios;2019T4;127,7
10 Comunitat Valenciana;Servicios;2019T3;120,4
10 Comunitat Valenciana;Servicios;2019T2;135
10 Comunitat Valenciana;Servicios;2019T1;119,8
10 Comunitat Valenciana;Servicios;2018T4;112,8
10 Comunitat Valenciana;Servicios;2018T3;128,1
10 Comunitat Valenciana;Servicios;2018T2;124
10 Comunitat Valenciana;Servicios;2018T1;146,6
10 Comunitat Valenciana;Servicios;2017T4;132,8
10 Comunitat Valenciana;Servicios;2017T3;150,3
10 Comunitat Valenciana;Servicios;2017T2;162,1
10 Comunitat Valenciana;Servicios;2017T1;164
10 Comunitat Valenciana;Servicios;2016T4;148,6
10 Comunitat Valenciana;Servicios;2016T3;153
10 Comunitat Valenciana;Servicios;2016T2;163,9
10 Comunitat Valenciana;Servicios;2016T1;169,2
10 Comunitat Valenciana;Servicios;2015T4;147,4
10 Comunitat Valenciana;Servicios;2015T3;166,3
10 Comunitat Valenciana;Servicios;2015T2;155,5
10 Comunitat Valenciana;Servicios;2015T1;167,4
10 Comunitat Valenciana;Servicios;2014T4;146,4
10 Comunitat Valenciana;Servicios;2014T3;160,4
10 Comunitat Valenciana;Servicios;2014T2;179,7
10 Comunitat Valenciana;Servicios;2014T1;178,7
10 Comunitat Valenciana;Servicios;2013T4;180,3
10 Comunitat Valenciana;Servicios;2013T3;202,2
10 Comunitat Valenciana;Servicios;2013T2;213,3
10 Comunitat Valenciana;Servicios;2013T1;200,9
10 Comunitat Valenciana;Servicios;2012T4;194,3
10 Comunitat Valenciana;Servicios;2012T3;193,6
10 Comunitat Valenciana;Servicios;2012T2;198,3
10 Comunitat Valenciana;Servicios;2012T1;198,1
10 Comunitat Valenciana;Servicios;2011T4;186,7
10 Comunitat Valenciana;Servicios;2011T3;182,5
10 Comunitat Valenciana;Servicios;2011T2;166,8
10 Comunitat Valenciana;Servicios;2011T1;174,4
10 Comunitat Valenciana;Servicios;2010T4;161,4
10 Comunitat Valenciana;Servicios;2010T3;188,1
10 Comunitat Valenciana;Servicios;2010T2;171,6
10 Comunitat Valenciana;Servicios;2010T1;182,9
10 Comunitat Valenciana;Servicios;2009T4;177,3
10 Comunitat Valenciana;Servicios;2009T3;197
10 Comunitat Valenciana;Servicios;2009T2;207,9
10 Comunitat Valenciana;Servicios;2009T1;173
10 Comunitat Valenciana;Servicios;2008T4;137,9
10 Comunitat Valenciana;Servicios;2008T3;114,6
10 Comunitat Valenciana;Servicios;2008T2;107,5
10 Comunitat Valenciana;Servicios;2008T1;95,7
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;153,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;153,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;148,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;149,4
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;167,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;147,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;139
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;170,5
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;172,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;161,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;181,5
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;177,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;193,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;218,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;260
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;198,9
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;198
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;199,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;150,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;157,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;163,7
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;164,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;163,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;173,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;174,7
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;189,9
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;197,2
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;203,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;222,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;218,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;236,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;252,9
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;261,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;280,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;302,2
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;301,2
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;310,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;312,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;334,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;353,4
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;360
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;374,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;377,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;418,2
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;409,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;389,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;385,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;398,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;387,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;372,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;343,4
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;342,4
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;331,1
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;310,5
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;308,5
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;314
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;306,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;276,6
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;278,5
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;251,8
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;234,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;184,4
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;148,3
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;137,7
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;109,2
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;87
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;88,7
10 Comunitat Valenciana;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;69,2
11 Extremadura;Total;2024T4;75,1
11 Extremadura;Total;2024T3;68,9
11 Extremadura;Total;2024T2;76,3
11 Extremadura;Total;2024T1;86,7
11 Extremadura;Total;2023T4;80,9
11 Extremadura;Total;2023T3;84,1
11 Extremadura;Total;2023T2;86,5
11 Extremadura;Total;2023T1;97,6
11 Extremadura;Total;2022T4;86,7
11 Extremadura;Total;2022T3;78,7
11 Extremadura;Total;2022T2;83,6
11 Extremadura;Total;2022T1;94
11 Extremadura;Total;2021T4;95,3
11 Extremadura;Total;2021T3;93,9
11 Extremadura;Total;2021T2;97,2
11 Extremadura;Total;2021T1;112,6
11 Extremadura;Total;2020T4;104,7
11 Extremadura;Total;2020T3;102,2
11 Extremadura;Total;2020T2;101
11 Extremadura;Total;2020T1;116
11 Extremadura;Total;2019T4;116,9
11 Extremadura;Total;2019T3;98,2
11 Extremadura;Total;2019T2;101,6
11 Extremadura;Total;2019T1;112,2
11 Extremadura;Total;2018T4;114,4
11 Extremadura;Total;2018T3;107,5
11 Extremadura;Total;2018T2;118,8
11 Extremadura;Total;2018T1;128,4
11 Extremadura;Total;2017T4;123,9
11 Extremadura;Total;2017T3;121,4
11 Extremadura;Total;2017T2;128,9
11 Extremadura;Total;2017T1;145,2
11 Extremadura;Total;2016T4;141,3
11 Extremadura;Total;2016T3;128,2
11 Extremadura;Total;2016T2;135,3
11 Extremadura;Total;2016T1;147
11 Extremadura;Total;2015T4;140,5
11 Extremadura;Total;2015T3;144,4
11 Extremadura;Total;2015T2;149,1
11 Extremadura;Total;2015T1;151,7
11 Extremadura;Total;2014T4;151,8
11 Extremadura;Total;2014T3;140,3
11 Extremadura;Total;2014T2;147,7
11 Extremadura;Total;2014T1;160,7
11 Extremadura;Total;2013T4;164,1
11 Extremadura;Total;2013T3;172,5
11 Extremadura;Total;2013T2;175,4
11 Extremadura;Total;2013T1;184,1
11 Extremadura;Total;2012T4;175,3
11 Extremadura;Total;2012T3;168,8
11 Extremadura;Total;2012T2;166,7
11 Extremadura;Total;2012T1;160,4
11 Extremadura;Total;2011T4;141,3
11 Extremadura;Total;2011T3;116,3
11 Extremadura;Total;2011T2;116,5
11 Extremadura;Total;2011T1;126,5
11 Extremadura;Total;2010T4;120,1
11 Extremadura;Total;2010T3;111,7
11 Extremadura;Total;2010T2;113
11 Extremadura;Total;2010T1;113,8
11 Extremadura;Total;2009T4;103,4
11 Extremadura;Total;2009T3;94,1
11 Extremadura;Total;2009T2;99,3
11 Extremadura;Total;2009T1;107,9
11 Extremadura;Total;2008T4;88,1
11 Extremadura;Total;2008T3;72,2
11 Extremadura;Total;2008T2;68,5
11 Extremadura;Total;2008T1;69,1
11 Extremadura;Agricultura;2024T4;10,1
11 Extremadura;Agricultura;2024T3;7
11 Extremadura;Agricultura;2024T2;5,9
11 Extremadura;Agricultura;2024T1;10,7
11 Extremadura;Agricultura;2023T4;9,8
11 Extremadura;Agricultura;2023T3;6,9
11 Extremadura;Agricultura;2023T2;8
11 Extremadura;Agricultura;2023T1;12,3
11 Extremadura;Agricultura;2022T4;11,3
11 Extremadura;Agricultura;2022T3;7,3
11 Extremadura;Agricultura;2022T2;9,2
11 Extremadura;Agricultura;2022T1;14
11 Extremadura;Agricultura;2021T4;10,6
11 Extremadura;Agricultura;2021T3;10,8
11 Extremadura;Agricultura;2021T2;8,5
11 Extremadura;Agricultura;2021T1;20
11 Extremadura;Agricultura;2020T4;13,2
11 Extremadura;Agricultura;2020T3;11,4
11 Extremadura;Agricultura;2020T2;9,8
11 Extremadura;Agricultura;2020T1;15,4
11 Extremadura;Agricultura;2019T4;17,5
11 Extremadura;Agricultura;2019T3;9
11 Extremadura;Agricultura;2019T2;9,5
11 Extremadura;Agricultura;2019T1;20,3
11 Extremadura;Agricultura;2018T4;16,3
11 Extremadura;Agricultura;2018T3;14
11 Extremadura;Agricultura;2018T2;16,2
11 Extremadura;Agricultura;2018T1;20,4
11 Extremadura;Agricultura;2017T4;17,8
11 Extremadura;Agricultura;2017T3;15,4
11 Extremadura;Agricultura;2017T2;11,5
11 Extremadura;Agricultura;2017T1;19,4
11 Extremadura;Agricultura;2016T4;15,2
11 Extremadura;Agricultura;2016T3;13,5
11 Extremadura;Agricultura;2016T2;15,3
11 Extremadura;Agricultura;2016T1;24,2
11 Extremadura;Agricultura;2015T4;21,4
11 Extremadura;Agricultura;2015T3;17,5
11 Extremadura;Agricultura;2015T2;12,8
11 Extremadura;Agricultura;2015T1;16,3
11 Extremadura;Agricultura;2014T4;20,7
11 Extremadura;Agricultura;2014T3;13,3
11 Extremadura;Agricultura;2014T2;11,2
11 Extremadura;Agricultura;2014T1;20,1
11 Extremadura;Agricultura;2013T4;16,3
11 Extremadura;Agricultura;2013T3;16,2
11 Extremadura;Agricultura;2013T2;17,4
11 Extremadura;Agricultura;2013T1;23,8
11 Extremadura;Agricultura;2012T4;19,5
11 Extremadura;Agricultura;2012T3;18,5
11 Extremadura;Agricultura;2012T2;19,3
11 Extremadura;Agricultura;2012T1;20,2
11 Extremadura;Agricultura;2011T4;16,8
11 Extremadura;Agricultura;2011T3;11,6
11 Extremadura;Agricultura;2011T2;10,3
11 Extremadura;Agricultura;2011T1;14,8
11 Extremadura;Agricultura;2010T4;11,6
11 Extremadura;Agricultura;2010T3;12,1
11 Extremadura;Agricultura;2010T2;9,9
11 Extremadura;Agricultura;2010T1;12,9
11 Extremadura;Agricultura;2009T4;11,8
11 Extremadura;Agricultura;2009T3;9,5
11 Extremadura;Agricultura;2009T2;11,7
11 Extremadura;Agricultura;2009T1;14,6
11 Extremadura;Agricultura;2008T4;8,8
11 Extremadura;Agricultura;2008T3;8,6
11 Extremadura;Agricultura;2008T2;5,6
11 Extremadura;Agricultura;2008T1;9,1
11 Extremadura;Industria;2024T4;4,5
11 Extremadura;Industria;2024T3;4,3
11 Extremadura;Industria;2024T2;4,5
11 Extremadura;Industria;2024T1;5,2
11 Extremadura;Industria;2023T4;2,9
11 Extremadura;Industria;2023T3;3,6
11 Extremadura;Industria;2023T2;2
11 Extremadura;Industria;2023T1;5,3
11 Extremadura;Industria;2022T4;2,4
11 Extremadura;Industria;2022T3;2,8
11 Extremadura;Industria;2022T2;3,7
11 Extremadura;Industria;2022T1;4,8
11 Extremadura;Industria;2021T4;3,7
11 Extremadura;Industria;2021T3;3,7
11 Extremadura;Industria;2021T2;3,6
11 Extremadura;Industria;2021T1;4,9
11 Extremadura;Industria;2020T4;5,6
11 Extremadura;Industria;2020T3;4,2
11 Extremadura;Industria;2020T2;4,7
11 Extremadura;Industria;2020T1;7,4
11 Extremadura;Industria;2019T4;6,5
11 Extremadura;Industria;2019T3;3,6
11 Extremadura;Industria;2019T2;4,3
11 Extremadura;Industria;2019T1;3,4
11 Extremadura;Industria;2018T4;5
11 Extremadura;Industria;2018T3;4,6
11 Extremadura;Industria;2018T2;4,9
11 Extremadura;Industria;2018T1;4,7
11 Extremadura;Industria;2017T4;5,6
11 Extremadura;Industria;2017T3;3,2
11 Extremadura;Industria;2017T2;4,7
11 Extremadura;Industria;2017T1;6,4
11 Extremadura;Industria;2016T4;3,4
11 Extremadura;Industria;2016T3;2,1
11 Extremadura;Industria;2016T2;4,6
11 Extremadura;Industria;2016T1;8
11 Extremadura;Industria;2015T4;5
11 Extremadura;Industria;2015T3;3,9
11 Extremadura;Industria;2015T2;5,2
11 Extremadura;Industria;2015T1;7,3
11 Extremadura;Industria;2014T4;7,2
11 Extremadura;Industria;2014T3;4,3
11 Extremadura;Industria;2014T2;5,8
11 Extremadura;Industria;2014T1;9
11 Extremadura;Industria;2013T4;6,5
11 Extremadura;Industria;2013T3;6,3
11 Extremadura;Industria;2013T2;9,7
11 Extremadura;Industria;2013T1;11,8
11 Extremadura;Industria;2012T4;8,6
11 Extremadura;Industria;2012T3;8,5
11 Extremadura;Industria;2012T2;7,5
11 Extremadura;Industria;2012T1;8,7
11 Extremadura;Industria;2011T4;5,5
11 Extremadura;Industria;2011T3;5,2
11 Extremadura;Industria;2011T2;6,1
11 Extremadura;Industria;2011T1;7,4
11 Extremadura;Industria;2010T4;6,8
11 Extremadura;Industria;2010T3;3,9
11 Extremadura;Industria;2010T2;4,9
11 Extremadura;Industria;2010T1;6,8
11 Extremadura;Industria;2009T4;5,2
11 Extremadura;Industria;2009T3;4,7
11 Extremadura;Industria;2009T2;10,1
11 Extremadura;Industria;2009T1;8,2
11 Extremadura;Industria;2008T4;5
11 Extremadura;Industria;2008T3;4
11 Extremadura;Industria;2008T2;3,8
11 Extremadura;Industria;2008T1;3,7
11 Extremadura;Construcción;2024T4;1,7
11 Extremadura;Construcción;2024T3;2,3
11 Extremadura;Construcción;2024T2;2,6
11 Extremadura;Construcción;2024T1;2,6
11 Extremadura;Construcción;2023T4;2,6
11 Extremadura;Construcción;2023T3;1,7
11 Extremadura;Construcción;2023T2;4,4
11 Extremadura;Construcción;2023T1;3,1
11 Extremadura;Construcción;2022T4;2,9
11 Extremadura;Construcción;2022T3;2,2
11 Extremadura;Construcción;2022T2;1,5
11 Extremadura;Construcción;2022T1;3,1
11 Extremadura;Construcción;2021T4;2,5
11 Extremadura;Construcción;2021T3;1,7
11 Extremadura;Construcción;2021T2;3,2
11 Extremadura;Construcción;2021T1;3,4
11 Extremadura;Construcción;2020T4;3,1
11 Extremadura;Construcción;2020T3;4,4
11 Extremadura;Construcción;2020T2;6,5
11 Extremadura;Construcción;2020T1;4,7
11 Extremadura;Construcción;2019T4;1,8
11 Extremadura;Construcción;2019T3;1,4
11 Extremadura;Construcción;2019T2;1,8
11 Extremadura;Construcción;2019T1;2,3
11 Extremadura;Construcción;2018T4;3,7
11 Extremadura;Construcción;2018T3;3,9
11 Extremadura;Construcción;2018T2;3,8
11 Extremadura;Construcción;2018T1;4,4
11 Extremadura;Construcción;2017T4;5,9
11 Extremadura;Construcción;2017T3;5,7
11 Extremadura;Construcción;2017T2;5,3
11 Extremadura;Construcción;2017T1;7,5
11 Extremadura;Construcción;2016T4;6,5
11 Extremadura;Construcción;2016T3;5,8
11 Extremadura;Construcción;2016T2;9,9
11 Extremadura;Construcción;2016T1;7,6
11 Extremadura;Construcción;2015T4;5,7
11 Extremadura;Construcción;2015T3;9,2
11 Extremadura;Construcción;2015T2;8
11 Extremadura;Construcción;2015T1;6,6
11 Extremadura;Construcción;2014T4;6,9
11 Extremadura;Construcción;2014T3;7,4
11 Extremadura;Construcción;2014T2;9
11 Extremadura;Construcción;2014T1;11,4
11 Extremadura;Construcción;2013T4;7,7
11 Extremadura;Construcción;2013T3;12
11 Extremadura;Construcción;2013T2;14,8
11 Extremadura;Construcción;2013T1;12,6
11 Extremadura;Construcción;2012T4;13,1
